Date,Close/Last,Volume,Open,High,Low
11/11/21,$19.55 ,96436460,$19.64 ,$19.84 ,$19.26 
11/10/21,$19.36 ,229109600,$19.88 ,$20.47 ,$19.06 
11/9/21,$20.12 ,164928500,$20.51 ,$20.51 ,$19.41 
11/8/21,$20.15 ,153490400,$19.40 ,$20.42 ,$19.24 
11/5/21,$19.29 ,122232200,$19.71 ,$19.72 ,$18.99 
11/4/21,$19.42 ,157505500,$18.92 ,$19.50 ,$18.72 
11/3/21,$18.63 ,104755500,$17.92 ,$18.83 ,$17.88 
11/2/21,$18.01 ,115146200,$18.15 ,$18.19 ,$17.73 
11/1/21,$17.95 ,125246500,$17.50 ,$17.97 ,$17.07 
10/29/21,$17.08 ,100560700,$16.86 ,$17.36 ,$16.55 
10/28/21,$16.86 ,215237600,$16.86 ,$17.58 ,$16.71 
10/27/21,$15.51 ,96094260,$15.79 ,$15.92 ,$15.50 
10/26/21,$15.94 ,64882300,$16.09 ,$16.22 ,$15.70 
10/25/21,$16 ,67808040,$16.40 ,$16.50 ,$15.81 
10/22/21,$16.28 ,60646750,$16.42 ,$16.54 ,$16.23 
10/21/21,$16.55 ,95854950,$16.16 ,$16.70 ,$16.13 
10/20/21,$16.04 ,105213700,$15.43 ,$16.16 ,$15.37 
10/19/21,$15.42 ,44668310,$15.60 ,$15.69 ,$15.37 
10/18/21,$15.56 ,48643810,$15.57 ,$15.65 ,$15.49 
10/15/21,$15.70 ,77211820,$15.54 ,$16.03 ,$15.54 
10/14/21,$15.45 ,50875110,$15.62 ,$15.62 ,$15.37 
10/13/21,$15.51 ,63363490,$15.59 ,$15.69 ,$15.27 
10/12/21,$15.64 ,89134010,$15.11 ,$15.68 ,$15.01 
10/11/21,$15.09 ,45302310,$15.20 ,$15.36 ,$14.97 
10/8/21,$15.12 ,99468890,$14.92 ,$15.49 ,$14.85 
10/7/21,$14.89 ,96557550,$14.34 ,$14.95 ,$14.31 
10/6/21,$14.12 ,61020280,$14.14 ,$14.34 ,$13.89 
10/5/21,$14.29 ,55915800,$14.44 ,$14.44 ,$14.11 
10/4/21,$14.35 ,78332500,$14.27 ,$14.79 ,$14.22 
10/1/21,$14.16 ,51880920,$14.26 ,$14.37 ,$14.01 
