Date,Close/Last,Volume,Open,High,Low
11/11/21,$61.82 ,29033880,$59.82 ,$62.15 ,$59.31 
11/10/21,$59.27 ,22778550,$57.85 ,$60.56 ,$57.73 
11/9/21,$58.62 ,13822870,$59.81 ,$59.93 ,$57.81 
11/8/21,$59.60 ,14385450,$58.76 ,$60.33 ,$58.48 
11/5/21,$58.52 ,16302210,$59.15 ,$59.35 ,$58.05 
11/4/21,$58.64 ,24026100,$56.47 ,$58.77 ,$56.27 
11/3/21,$56 ,14419370,$55.26 ,$56.17 ,$55.09 
11/2/21,$55.59 ,16377490,$55.03 ,$55.98 ,$54.68 
11/1/21,$55.49 ,15677570,$54.85 ,$55.74 ,$54.42 
10/29/21,$54.43 ,16680740,$53.90 ,$55.04 ,$53.61 
10/28/21,$54.24 ,23020300,$54.60 ,$55.58 ,$54.06 
10/27/21,$54.26 ,36397560,$55.60 ,$55.76 ,$54.16 
10/26/21,$57.37 ,16335760,$58.02 ,$58.30 ,$56.96 
10/25/21,$57.76 ,14151030,$58.05 ,$58.31 ,$56.84 
10/22/21,$57.77 ,11077610,$58.37 ,$58.70 ,$57.64 
10/21/21,$58.41 ,11585400,$58 ,$58.67 ,$57.73 
10/20/21,$57.67 ,13399850,$56.36 ,$58.24 ,$56.22 
10/19/21,$56.85 ,10589020,$57 ,$57.06 ,$56.53 
10/18/21,$56.89 ,12667900,$57.41 ,$57.58 ,$56.85 
10/15/21,$58 ,12914590,$58.34 ,$58.71 ,$57.85 
10/14/21,$57.69 ,11457550,$58.10 ,$58.29 ,$57.45 
10/13/21,$57.77 ,18813800,$58.94 ,$58.94 ,$57.08 
10/12/21,$58.96 ,17094970,$58.52 ,$59.33 ,$57.86 
10/11/21,$58.09 ,17665710,$58.79 ,$59.35 ,$57.77 
10/8/21,$58.57 ,33724940,$56.54 ,$59.21 ,$56.38 
10/7/21,$56.44 ,31005970,$54.85 ,$56.74 ,$54.44 
10/6/21,$53.93 ,29520790,$54.49 ,$55.50 ,$53.15 
10/5/21,$54.34 ,18201520,$54.19 ,$54.74 ,$53.65 
10/4/21,$53.98 ,29206680,$54.90 ,$55.64 ,$53.68 
10/1/21,$53.13 ,16660420,$53.03 ,$53.38 ,$52.25 
9/30/21,$52.71 ,16328190,$52.93 ,$53.20 ,$52.18 
9/29/21,$52.93 ,10881060,$53.30 ,$53.36 ,$52.53 
