Date,Close/Last,Volume,Open,High,Low
11/11/21,$332.43 ,16849840,$331.25 ,$333.77 ,$330.51 
11/10/21,$330.80 ,25500940,$334.57 ,$334.63 ,$329.92 
11/9/21,$335.95 ,21307370,$337.11 ,$338.72 ,$334.53 
11/8/21,$336.99 ,20897000,$337.30 ,$337.65 ,$334.44 
11/5/21,$336.06 ,22570100,$338.51 ,$338.79 ,$334.42 
11/4/21,$336.44 ,23992200,$332.89 ,$336.54 ,$329.51 
11/3/21,$334 ,21500080,$333.90 ,$334.90 ,$330.65 
11/2/21,$333.13 ,26487110,$330.31 ,$333.45 ,$330 
11/1/21,$329.37 ,27073180,$331.36 ,$331.49 ,$326.37 
10/29/21,$331.62 ,34765980,$324.13 ,$332 ,$323.90 
10/28/21,$324.35 ,26297940,$324.33 ,$324.87 ,$321.36 
10/27/21,$323.17 ,52588690,$316 ,$326.10 ,$316 
10/26/21,$310.11 ,28107350,$311 ,$312.40 ,$308.60 
10/25/21,$308.13 ,17554470,$309.36 ,$309.40 ,$306.46 
10/22/21,$309.16 ,17449330,$310.40 ,$311.09 ,$307.80 
10/21/21,$310.76 ,16918100,$307.17 ,$311.02 ,$306.36 
10/20/21,$307.41 ,16537070,$309.21 ,$309.70 ,$306.11 
10/19/21,$308.23 ,17682140,$308.35 ,$309.30 ,$307.22 
10/18/21,$307.29 ,22729300,$303.57 ,$308.21 ,$302.69 
10/15/21,$304.21 ,25384800,$302.34 ,$304.45 ,$300.52 
10/14/21,$302.75 ,27262900,$299.21 ,$303.27 ,$297.83 
10/13/21,$296.31 ,23424030,$294.91 ,$297.28 ,$293.49 
10/12/21,$292.88 ,17974140,$295.34 ,$295.44 ,$292.35 
10/11/21,$294.23 ,19298630,$292.92 ,$297.97 ,$292.75 
10/8/21,$294.85 ,17685700,$296.22 ,$296.64 ,$293.76 
10/7/21,$294.85 ,20430470,$295.18 ,$296.64 ,$293.92 
10/6/21,$293.11 ,28002560,$285.78 ,$293.63 ,$285.51 
10/5/21,$288.76 ,24993020,$284.05 ,$290.40 ,$284.05 
10/4/21,$283.11 ,31350750,$287.40 ,$287.75 ,$280.25 
10/1/21,$289.10 ,30086280,$282.12 ,$289.98 ,$281.29 
9/30/21,$281.92 ,32343640,$285.71 ,$287.83 ,$281.62 
9/29/21,$284 ,26353700,$285.10 ,$286.77 ,$283.01 
9/28/21,$283.52 ,43186240,$289.80 ,$290.78 ,$282.75 
9/27/21,$294.17 ,23571740,$296.14 ,$296.47 ,$292.94 
9/24/21,$299.35 ,14998980,$298.23 ,$299.80 ,$296.93 
9/23/21,$299.56 ,18604600,$298.85 ,$300.90 ,$297.53 
9/22/21,$298.58 ,26626340,$296.73 ,$300.22 ,$294.51 
9/21/21,$294.80 ,22364100,$295.69 ,$297.54 ,$294.07 
9/20/21,$294.30 ,38278660,$296.33 ,$298.72 ,$289.52 
9/17/21,$299.87 ,41372460,$304.17 ,$304.50 ,$299.53 
9/16/21,$305.22 ,19550820,$303.76 ,$305.31 ,$300.76 
9/15/21,$304.82 ,28356300,$303.26 ,$305.32 ,$301.82 
9/14/21,$299.79 ,21853430,$299.56 ,$301.39 ,$298.10 
9/13/21,$296.99 ,23652950,$297.55 ,$298.54 ,$294.08 
9/10/21,$295.71 ,19633360,$298.42 ,$299.92 ,$295.38 
9/9/21,$297.25 ,19927000,$300.82 ,$302.14 ,$297 
9/8/21,$300.21 ,15046820,$299.78 ,$300.61 ,$297.47 
9/7/21,$300.18 ,17184080,$301.01 ,$301.09 ,$298.20 
9/3/21,$301.14 ,14751610,$300.99 ,$302.60 ,$300.26 
9/2/21,$301.15 ,16290550,$302.20 ,$303.36 ,$300.18 
9/1/21,$301.83 ,18983830,$302.87 ,$305.19 ,$301.49 
8/31/21,$301.88 ,26285340,$304.42 ,$304.50 ,$301.50 
8/30/21,$303.59 ,16348070,$301.12 ,$304.22 ,$301.06 
8/27/21,$299.72 ,22605730,$298.99 ,$300.87 ,$296.83 
8/26/21,$299.09 ,17666080,$300.99 ,$302.43 ,$298.95 
8/25/21,$302.01 ,20006060,$304.30 ,$304.59 ,$300.42 
8/24/21,$302.62 ,18175770,$305.02 ,$305.65 ,$302.00 
8/23/21,$304.65 ,22830160,$303.25 ,$305.40 ,$301.85 
8/20/21,$304.36 ,40817650,$299.72 ,$305.84 ,$298.06 
8/19/21,$296.77 ,29850460,$288.69 ,$297.47 ,$288.64 
8/18/21,$290.73 ,21812990,$292.04 ,$294.82 ,$290.27 
8/17/21,$293.08 ,20075250,$292.39 ,$293.43 ,$291.08 
8/16/21,$294.60 ,22516030,$293.19 ,$294.82 ,$290.02 
8/13/21,$292.85 ,18249050,$289.48 ,$292.90 ,$289.30 
8/12/21,$289.81 ,14570390,$286.63 ,$289.97 ,$286.34 
8/11/21,$286.95 ,13955930,$287.21 ,$288.66 ,$285.86 
8/10/21,$286.44 ,18616580,$288.80 ,$289.25 ,$285.20 
8/9/21,$288.33 ,16117630,$289.75 ,$291.55 ,$287.81 
8/6/21,$289.46 ,16589340,$288.51 ,$289.50 ,$287.62 
8/5/21,$289.52 ,13900170,$286.88 ,$289.63 ,$286.10 
8/4/21,$286.51 ,16191300,$286.22 ,$287.59 ,$284.65 
8/3/21,$287.12 ,17879050,$285.42 ,$287.23 ,$284 
8/2/21,$284.82 ,16267360,$286.36 ,$286.78 ,$283.74 
7/30/21,$284.91 ,20944850,$285.17 ,$286.66 ,$283.91 
7/29/21,$286.50 ,18168290,$286.24 ,$288.62 ,$286.08 
7/28/21,$286.22 ,33566850,$288.99 ,$290.15 ,$283.83 
7/27/21,$286.54 ,33604070,$289.43 ,$289.58 ,$282.95 
7/26/21,$289.05 ,23176070,$289 ,$289.69 ,$286.64 
7/23/21,$289.67 ,22768070,$287.37 ,$289.99 ,$286.50 
7/22/21,$286.14 ,23384060,$283.84 ,$286.42 ,$283.42 
7/21/21,$281.40 ,24364320,$278.91 ,$281.52 ,$277.29 
7/20/21,$279.32 ,26259740,$278.03 ,$280.97 ,$276.26 
7/19/21,$277.01 ,32935630,$278.93 ,$280.37 ,$274.45 
7/16/21,$280.75 ,26186850,$282.07 ,$284.10 ,$279.46 
7/15/21,$281.03 ,22604230,$282 ,$282.51 ,$279.83 
7/14/21,$282.51 ,23113660,$282.35 ,$283.66 ,$280.55 
