Date,Close/Last,Volume,Open,High,Low
11/11/21,426.4,3634631,427.7,427.82,426.39
11/10/21,426.26,6350658,428.09,429.73,424.81
11/9/21,429.72,4696024,431.56,431.75,428.34
11/8/21,431.23,3511610,431.88,432.34,430.5
11/5/21,430.71,4942933,431.55,432.76,429.3
11/4/21,429.25,4287284,427.85,429.37,427.54
11/3/21,427.25,3562910,424.14,427.66,423.69
11/2/21,424.69,2989214,423.15,424.96,423.01
11/1/21,423.05,3937315,423.19,423.57,421.28
10/29/21,422.16,4637741,419.15,422.515,418.87
10/28/21,421.41,3643561,418.78,421.44,418.75
10/27/21,417.33,2873514,419.66,420.29,417.28
10/26/21,419.15,3085261,420.27,421.5294,418.86
10/25/21,418.75,2511465,417.64,419.14,415.93
10/22/21,416.59,3648855,416.58,418,414.7
10/21/21,417.01,2579450,415.38,417.24,414.9449
10/20/21,415.99,3208156,414.74,416.22,414.65
10/19/21,414.38,2838262,412.74,414.38,412.14
10/18/21,411.18,3402670,408.2,411.46,407.53
10/15/21,409.93,3501619,408.92,410.26,408.275
10/14/21,406.76,3788390,403.7,406.95,403.22
10/13/21,400.04,6492363,399.64,400.88,396.75
10/12/21,398.76,6201264,400.55,400.92,397.87
10/11/21,399.56,3695672,401.91,404.74,399.56
10/8/21,402.49,3960919,404.04,404.3881,401.94
10/7/21,403.25,4409195,403.07,406.05,402.85
10/6/21,399.81,6589951,394.65,400.02,393.06
10/5/21,398.04,5523244,395.56,400.3526,394.79
10/4/21,394.21,8820427,398.12,398.94,391.96
10/1/21,399.12,8482196,396.226,400.85,392.77
9/30/21,394.4,9511155,400.85,401.52,394.34
9/29/21,399.46,4724166,400.1,401.79,398.86
9/28/21,400.14,8234309,405.55,405.87,399.33
9/27/21,408.3,3546600,408.421,409.57,407.59
9/24/21,409.46,3417688,407.17,410.13,406.95
9/23/21,408.78,4098043,405.71,410.32,405.47
9/22/21,403.9,6004773,402.17,405.85,401.26
9/21/21,400.04,6418124,402.66,403.9,399.44
9/20/21,400.43,10942740,401.11,402.64,395.57
9/17/21,407.08,5396095,410.35,410.78,406.77
9/16/21,411.11,3351499,411.27,412.19,408.23
