Date,Close/Last,Volume,Open,High,Low
11/11/21,$64.31 ,13319300,$64.20 ,$64.83 ,$64.02 
11/10/21,$64.19 ,20177220,$65.32 ,$65.65 ,$63.77 
11/9/21,$66.36 ,18781340,$65.77 ,$66.37 ,$65.31 
11/8/21,$65.72 ,17696030,$65.55 ,$66.38 ,$65.38 
11/5/21,$65.02 ,18565130,$65.05 ,$65.33 ,$64.56 
11/4/21,$64.41 ,17720120,$64.68 ,$64.89 ,$63.83 
11/3/21,$63.93 ,17372770,$64.04 ,$64.45 ,$63.66 
11/2/21,$64.82 ,16300050,$65.03 ,$65.45 ,$64.66 
11/1/21,$65.63 ,19656450,$65.07 ,$66.08 ,$65.02 
10/29/21,$64.47 ,23966330,$65.05 ,$65.36 ,$64.33 
10/28/21,$64.31 ,16626410,$63.82 ,$64.47 ,$63.63 
10/27/21,$64.13 ,21764460,$65.16 ,$65.25 ,$63.98 
10/26/21,$65.84 ,25585100,$64.49 ,$65.94 ,$64.36 
10/25/21,$64.35 ,17939770,$63.72 ,$64.42 ,$63.58 
10/22/21,$63.12 ,14266850,$62.77 ,$63.22 ,$62.35 
10/21/21,$62.69 ,16564640,$63.47 ,$63.64 ,$62.35 
10/20/21,$63.85 ,14305160,$62.89 ,$63.87 ,$62.72 
10/19/21,$63.50 ,18933150,$62.87 ,$63.61 ,$62.67 
10/18/21,$62.56 ,18282800,$63.09 ,$63.14 ,$62.27 
10/15/21,$62.59 ,16092610,$62.73 ,$63.07 ,$62.44 
10/14/21,$62 ,18594500,$61.71 ,$62.22 ,$61.17 
10/13/21,$61.07 ,14991720,$60.78 ,$61.39 ,$60.21 
10/12/21,$61.24 ,20198560,$61.57 ,$61.98 ,$60.85 
10/11/21,$61.56 ,22121490,$63.03 ,$63.06 ,$61.50 
10/8/21,$62.18 ,22186890,$61.25 ,$62.42 ,$61.25 
10/7/21,$60.66 ,19513600,$60.61 ,$61.08 ,$60.14 
10/6/21,$60.49 ,25284920,$60.47 ,$61.12 ,$59.75 
10/5/21,$61.62 ,29641560,$62.52 ,$62.70 ,$61.02 
10/4/21,$61.72 ,33946680,$61.32 ,$62.07 ,$60.95 
10/1/21,$60.93 ,24407340,$59.41 ,$60.99 ,$59.41 
9/30/21,$58.82 ,31289620,$60.12 ,$60.17 ,$58.81 
9/29/21,$59.88 ,23422800,$59.84 ,$60.19 ,$59.05 
9/28/21,$59.92 ,37619270,$59.90 ,$60.48 ,$59.51 
9/27/21,$59.30 ,32972240,$58.85 ,$59.80 ,$58.82 
9/24/21,$57.59 ,22328570,$56.70 ,$57.82 ,$56.68 
9/23/21,$57.08 ,23069410,$55.42 ,$57.24 ,$55.28 
9/22/21,$55.21 ,25690630,$54.43 ,$55.91 ,$54.37 
9/21/21,$53.64 ,19696790,$54.37 ,$54.51 ,$53.25 
9/20/21,$53.69 ,27555060,$53.78 ,$54.17 ,$52.96 
9/17/21,$55.16 ,30034430,$55.34 ,$56.75 ,$55.10 
9/16/21,$55.82 ,17907200,$56.46 ,$56.46 ,$55.50 
9/15/21,$56.42 ,23240880,$55.37 ,$56.53 ,$55.31 
9/14/21,$54.58 ,19940300,$55.69 ,$55.77 ,$54.41 
9/13/21,$55.37 ,22052270,$54.65 ,$55.93 ,$54.62 
9/10/21,$53.98 ,15123690,$55.19 ,$55.23 ,$53.95 
9/9/21,$54.09 ,19110780,$53.62 ,$55 ,$53.30 
9/8/21,$54.05 ,18756730,$54.79 ,$55.18 ,$54.01 
9/7/21,$54.55 ,14356410,$54.67 ,$55.27 ,$54.47 
9/3/21,$54.87 ,13847890,$55.12 ,$55.32 ,$54.60 
9/2/21,$55.08 ,23302230,$54.29 ,$55.64 ,$54.27 
9/1/21,$53.77 ,21644070,$54.49 ,$54.76 ,$53.60 
8/31/21,$54.52 ,27104130,$54.93 ,$55.31 ,$54.46 
8/30/21,$55.16 ,14086120,$56.24 ,$56.34 ,$55.12 
8/27/21,$55.77 ,15822450,$55.40 ,$56.21 ,$55.40 
8/26/21,$54.71 ,11842620,$55.20 ,$55.54 ,$54.63 
8/25/21,$55.46 ,13270320,$55.24 ,$55.77 ,$54.87 
8/24/21,$55.36 ,17915560,$55.29 ,$55.85 ,$55.01 
8/23/21,$54.91 ,21632610,$53.95 ,$55.06 ,$53.95 
8/20/21,$52.74 ,16918280,$52.27 ,$53.14 ,$52.11 
8/19/21,$52.73 ,30923510,$53.47 ,$53.71 ,$52.10 
8/18/21,$54.39 ,21890520,$55.42 ,$55.81 ,$54.31 
8/17/21,$55.56 ,16243660,$55.50 ,$56.30 ,$55.00 
8/16/21,$55.94 ,16969050,$56.02 ,$56.09 ,$55.27 
8/13/21,$56.77 ,20062990,$57.03 ,$57.07 ,$56.30 
8/12/21,$57.35 ,19227450,$57.40 ,$57.79 ,$56.87 
8/11/21,$58.35 ,18278630,$58.19 ,$58.50 ,$57.72 
8/10/21,$58.18 ,16340240,$57.42 ,$58.36 ,$57.30 
8/9/21,$57.20 ,17828210,$57.13 ,$57.52 ,$56.83 
8/6/21,$57.86 ,14888490,$57.66 ,$58.07 ,$57.53 
8/5/21,$57.20 ,15180190,$57.13 ,$57.70 ,$56.83 
8/4/21,$56.84 ,20868320,$57.19 ,$57.88 ,$56.81 
8/3/21,$58.20 ,18208180,$57.57 ,$58.41 ,$56.93 
8/2/21,$57.58 ,20873770,$57.55 ,$59.06 ,$57.40 
7/30/21,$57.57 ,28652810,$58.88 ,$58.88 ,$57.32 
7/29/21,$58.93 ,18607820,$59 ,$59.33 ,$58.56 
7/28/21,$58.22 ,16855290,$58 ,$58.63 ,$57.62 
7/27/21,$57.83 ,16861420,$58.01 ,$58.01 ,$57.21 
7/26/21,$58.48 ,18387610,$57.16 ,$58.65 ,$57 
7/23/21,$57.04 ,14088190,$57.29 ,$57.29 ,$56.47 
7/22/21,$57.11 ,13493810,$57.73 ,$57.74 ,$56.66 
7/21/21,$57.76 ,20908730,$56.86 ,$58.30 ,$56.83 
7/20/21,$55.96 ,26756120,$55.50 ,$56.60 ,$55.03 
7/19/21,$55.35 ,37969060,$55.64 ,$56.20 ,$54.60 
7/16/21,$57.32 ,27049510,$59.18 ,$59.26 ,$57.15 
7/15/21,$58.95 ,15851100,$59.17 ,$59.70 ,$58.77 
7/14/21,$59.53 ,21573590,$61.17 ,$61.73 ,$59.36 
7/13/21,$60.88 ,17147350,$61 ,$61.51 ,$60.51 
7/12/21,$61.17 ,21809420,$60.42 ,$61.50 ,$60.16 
